date,retweets,likes
2011-09-09,722,741
2011-09-12,531,143
2011-09-13,1704,853
2011-09-14,326,101
2011-09-15,573,173
2011-09-16,1299,332
2011-09-19,1380,233
2011-09-20,753,180
2011-09-21,1610,1226
2011-09-22,391,110
2011-09-23,618,107
2011-09-26,423,49
2011-09-27,715,352
2011-09-28,2273,1710
2011-09-29,1768,1508
2011-09-30,1034,317
2011-10-03,877,805
2011-10-04,900,92
2011-10-05,639,630
2011-10-06,761,257
2011-10-07,2755,2398
2011-10-11,2350,1061
2011-10-12,142,26
2011-10-13,427,907
2011-10-14,569,63
2011-10-15,66,30
2011-10-17,1764,750
2011-10-18,1024,300
2011-10-19,2029,847
2011-10-20,1102,296
2011-10-21,1954,985
2011-10-24,2528,1427
2011-10-25,3562,2348
2011-10-26,924,392
2011-10-27,1528,806
2011-10-28,443,77
2011-10-31,35,14
2011-11-01,1735,1011
2011-11-02,1679,873
2011-11-04,420,139
2011-11-08,779,157
2011-11-09,750,198
2011-11-10,1422,486
2011-11-11,1356,262
2011-11-14,1138,402
2011-11-15,394,108
2011-11-16,1312,352
2011-11-17,728,117
2011-11-18,1226,386
2011-11-21,1146,184
2011-11-22,1557,614
2011-11-23,891,323
2011-11-28,1117,328
2011-11-29,41915,29576
2011-11-30,1367,481
2011-12-01,545,253
2011-12-02,1187,185
2011-12-05,1025,594
2011-12-06,2116,751
2011-12-07,378,134
2011-12-08,1260,739
2011-12-09,2223,1916
2011-12-12,934,393
2011-12-13,1224,271
2011-12-14,3743,2474
2011-12-15,2236,3166
2011-12-16,1231,565
2011-12-19,1336,325
2011-12-20,3567,1476
2011-12-21,26188,36664
2011-12-22,1214,289
2011-12-27,2130,485
2011-12-28,2095,1004
2011-12-29,3248,3053
2011-12-30,6008,4599
2012-01-03,1195,463
2012-01-04,3289,1541
2012-01-05,2128,982
2012-01-06,1445,342
2012-01-09,1216,531
2012-01-10,18160,14834
2012-01-11,648,369
2012-01-12,1724,1979
2012-01-13,16980,20794
2012-01-16,114,18
2012-01-17,11928,9262
2012-01-18,721,193
2012-01-19,2133,580
2012-01-20,1581,207
2012-01-23,807,90
2012-01-24,1664,396
2012-01-25,2277,710
2012-01-26,843,476
2012-01-27,1017,169
2012-01-30,1050,158
2012-01-31,920,150
2012-02-01,1314,284
2012-02-02,333,41
2012-02-03,581,195
2012-02-05,98,19
2012-02-06,1101,257
2012-02-07,843,184
2012-02-08,1770,1054
2012-02-09,2565,1593
2012-02-10,653,257
2012-02-13,1097,459
2012-02-14,1796,668
2012-02-15,1157,392
2012-02-16,1096,175
2012-02-17,1051,307
2012-02-21,1465,559
2012-02-22,1241,437
2012-02-23,5442,3783
2012-02-24,1133,447
2012-02-27,2398,1532
2012-02-28,1136,151
2012-02-29,637,164
2012-03-01,664,423
2012-03-05,1272,799
2012-03-06,1638,466
2012-03-07,473,72
2012-03-08,534,101
2012-03-09,750,102
2012-03-12,17778,25027
2012-03-13,1693,769
2012-03-14,551,95
2012-03-15,944,390
2012-03-16,2094,641
2012-03-17,50,11
2012-03-19,4418,3852
2012-03-20,3073,2191
2012-03-21,1368,852
2012-03-22,1016,441
2012-03-23,739,212
2012-03-26,525,128
2012-03-28,1173,272
2012-03-29,910,182
2012-03-30,1933,687
2012-04-02,1160,364
2012-04-03,1204,264
2012-04-04,620,350
2012-04-05,1475,1259
2012-04-06,1857,1022
2012-04-09,722,281
2012-04-10,995,729
2012-04-11,1787,932
2012-04-12,1381,611
2012-04-13,3438,1743
2012-04-14,750,222
2012-04-16,2357,1885
2012-04-17,410,136
2012-04-18,1670,840
2012-04-19,2503,1533
2012-04-20,1234,739
2012-04-22,25,5
2012-04-23,1850,655
2012-04-24,1354,852
2012-04-25,194,30
2012-04-26,954,168
2012-04-27,1376,863
2012-04-30,1217,587
2012-05-01,1097,615
2012-05-02,702,257
2012-05-03,643,110
2012-05-04,1536,538
2012-05-07,1920,430
2012-05-08,1709,419
2012-05-09,1360,575
2012-05-10,1521,590
2012-05-11,2119,462
2012-05-14,4460,2362
2012-05-15,2910,1009
2012-05-16,964,236
2012-05-17,838,389
2012-05-18,2990,2251
2012-05-21,1752,501
2012-05-22,2564,1360
2012-05-23,1410,427
2012-05-24,3539,1412
2012-05-28,271,165
2012-05-29,2456,648
2012-05-30,6190,5800
2012-05-31,3001,1730
2012-06-01,2159,838
2012-06-02,40,7
2012-06-03,58,20
2012-06-04,1893,931
2012-06-05,1073,291
2012-06-06,2984,1689
2012-06-07,684,245
2012-06-08,2075,1646
2012-06-10,294,96
2012-06-11,1768,742
2012-06-12,4308,2334
2012-06-13,2022,571
2012-06-14,2184,2196
2012-06-15,1501,456
2012-06-18,1805,885
2012-06-19,431,75
2012-06-20,4254,1966
2012-06-21,2658,606
2012-06-22,1078,218
2012-06-25,2019,525
2012-06-26,1875,426
2012-06-27,3284,2052
2012-06-28,3899,996
2012-06-29,1797,485
2012-07-02,1441,430
2012-07-03,3718,1652
2012-07-05,7952,5901
2012-07-06,455,83
2012-07-07,2784,2986
2012-07-09,124,81
2012-07-10,10669,6066
2012-07-11,3415,2518
2012-07-12,1883,807
2012-07-13,6404,3731
2012-07-16,1200,507
2012-07-17,13382,18380
2012-07-18,12149,6710
2012-07-19,4270,1395
2012-07-20,4381,1631
2012-07-23,3123,760
2012-07-24,1238,314
2012-07-25,3626,893
2012-07-26,1043,398
2012-07-27,7866,5210
2012-07-30,5160,2696
2012-07-31,3360,1737
2012-08-01,4723,3523
2012-08-02,1719,397
2012-08-06,28102,23008
2012-08-07,4606,1536
2012-08-08,1962,546
2012-08-09,4705,1698
2012-08-10,2518,700
2012-08-13,2604,687
2012-08-14,2131,446
2012-08-15,2320,1170
2012-08-16,13930,11970
2012-08-17,6598,4402
2012-08-20,1011,303
2012-08-21,5492,3079
2012-08-22,5394,2269
2012-08-23,4402,1450
2012-08-24,6653,3418
2012-08-27,4866,2089
2012-08-28,12614,10050
2012-08-29,3091,1005
2012-08-30,4270,1830
2012-08-31,3041,931
2012-09-01,835,228
2012-09-02,300,112
2012-09-03,427,69
2012-09-04,6788,2711
2012-09-05,34590,32215
2012-09-06,5248,1346
2012-09-07,6318,1785
2012-09-10,2934,2745
2012-09-11,8241,4297
2012-09-12,10124,3513
