Word,Occurance
joe,147
mark,146
set,146
system,145
along,145
obamas,145
able,145
giving,145
playing,144
monday,144
lives,144
comey,144
mind,144
nobody,143
started,143
prices,142
gone,142
nuclear,142
that’s,142
spent,142
billions,141
thinking,141
j,140
hampshire,140
oreillyfactor,140
trumps,140
learn,140
immediately,140
lies,140
between,139
try,139
favorite,139
watched,139
speaking,138
easy,138
perhaps,137
virginia,137
ties,137
taken,136
laws,136
families,136
large,136
global,135
built,135
possible,134
came,134
wonder,133
russian,133
thousands,133
policy,132
asked,132
votes,132
primary,132
false,132
choice,132
visit,132
class,132
small,132
results,131
meet,131
killed,131
stated,131
thoughts,131
horrible,131
veterans,131
melania,131
california,130
angry,130
mike,130
fan,130
rate,129
losers,129
action,129
wanted,129
interest,128
weekend,128
knew,128
happened,128
information,127
west,127
lose,127
evening,127
stories,127
sir,127
follow,126
ridiculous,126
schiff,126
turn,126
forget,125
early,125
vegas,125
haters,125
losing,125
i’m,125
minister,125
greta,125
reporting,124
level,124
amendment,124
dumb,124
james,124
young,123
isnt,123
potus,122
maybe,122
correct,122
bernie,121
loser,121
prime,121
killing,121
saw,121
seeing,121
word,120
david,120
id,120
ny,120
supporters,120
s,120
enforcement,120
heard,119
secretary,119
fully,119
feel,119
voted,119
respected,119
announced,119
beginning,118
least,118
tuesday,118
wife,118
trumpdoral,118
months,118
lie,118
release,117
starting,117
based,117
continues,117
november,117
cost,117
unfair,117
fire,116
instead,116
needed,116
conference,116
few,116
create,115
dangerous,115
investigation,115
bless,115
whitehouse,115
farmers,114
pres,114
timetogettough,114
saturday,114
comes,114
whole,113
former,113
tune,113
matter,113
nations,112
force,112
entire,112
waste,112
supreme,112
re,112
understand,112
air,112
excited,111
r,111
wins,111
michael,111
dead,111
romney,111
voters,111
face,111
approval,110
canada,110
warming,110
allow,110
budget,110
each,110
drug,110
mistake,110
question,110
rigged,109
erictrump,109
growth,109
questions,109
using,109
idea,109
credit,109
term,109
huge,108
send,108
touch,107
happening,107
especially,107
charity,107
bigger,107
sorry,107
asking,107
sense,107
middle,107
played,107
gas,106
rather,106
exciting,106
everybody,106
chris,106
terrific,106
listen,106
bob,106
late,106
probably,106
candidates,106
lightweight,105
he’s,105
won’t,105
lots,105
robert,105
higher,105
convention,104
spoke,104
positive,104
hopefully,104
chinese,104
quickly,104
signed,103
destroy,103
television,103
fraud,103
las,103
workers,103
mitt,103
safety,103
tweets,103
abc,103
negative,103
children,102
congressman,102
police,102
chuck,102
tweet,102
paying,102
intelligence,101
boring,101
march,101
answer,101
final,101
worth,101
emails,100
joke,100
center,100
etc,100
freedom,100
scam,100
reading,100
records,100
though,99
elected,99
weeks,99
reagan,99
ukraine,99
blue,99
glad,99
ebola,98
defense,98
pass,98
worked,98
kind,98
dollar,97
presidency,97
obama’s,97
leave,97
obstruction,97
except,96
fed,96
article,96
side,96
son,96
don,96
stronger,96
honored,95
todays,95
wisconsin,95
potential,95
increase,95
policies,95
kim,94
minutes,94
announce,94
met,94
trumpchicago,94
nfl,94
himself,94
drugs,94
alexsalmond,94
raise,94
caught,94
paul,93
brand,93
thx,93
members,93
michigan,93
perfect,93
process,93
magazine,92
yankees,92
pathetic,92
failure,92
school,92
george,92
dnc,92
price,92
advice,92
tickets,92
turbines,92
facts,92
gretawire,92
christmas,92
hours,92
putin,91
waiting,91
death,91
brought,91
across,91
standing,91
adam,91
donaldjtrumpjr,90
means,90
trumpvlog,90
four,90
three,90
lowest,90
mayor,90
treated,89
company,89
enemy,89
newsmaxmedia,89
rest,89
arizona,89
talent,89
talks,89
agreed,89
gives,88
reform,88
beach,88
whats,88
ran,88
leading,88
episode,88
dinner,88
incompetent,87
poor,87
list,87
easily,87
head,87
ahead,87
behind,87
goes,87
alabama,87
billmaher,87
takes,86
repeal,86
turned,86
line,86
steve,86
woman,86
lawyer,86
andrew,86
either,86
turnberry,86
street,86
historic,85
committee,85
lower,85
bought,85
youve,85
agenda,85
marco,85
universe,85
staff,85
hearing,85
friday,85
eric,85
links,85
miami,85
progress,84
college,84
page,84
legal,84
brave,84
letterman,84
laughing,84
prayers,84
due,83
points,83
