Word,Occurance,Type-of-word
sgt,31,JJ
cnnpolitics,31,NNS
achievement,31,JJ
students,31,NNS
ryan,31,JJ
lateshow,30,NN
jersey,30,NN
marcorubio,30,NN
meantime,30,JJ
taliban,30,NN
honesty,30,NN
weather,30,NN
guard,30,JJ
pride,30,NN
pete,30,JJ
teams,30,NNS
citizen,30,JJ
heads,30,NNS
kurds,30,NNS
guilty,30,JJ
markets,30,NNS
quo,30,NN
christian,30,JJ
transparency,30,NN
buildings,30,NNS
legend,30,JJ
sooo,30,NN
ticket,30,NN
london,30,JJ
avenue,30,NN
tariff,30,NN
scale,30,NN
jones,30,NNS
groups,30,NNS
plant,30,NN
duty,30,NN
legendary,30,JJ
netanyahu,30,JJ
allies,30,NNS
sweepstweet,30,NN
huffingtonpost,30,NN
ricksantorum,30,JJ
winston,30,NN
thehill,30,NN
shifty,30,JJ
investigate,30,NN
stone,30,NN
lack,30,NN
penn,30,NN
lines,30,NNS
efforts,30,NNS
walker,30,NN
traceadkins,30,NNS
motivation,29,NN
baseball,29,NN
bankruptcy,29,NN
endorse,29,JJ
matters,29,NNS
brotherhood,29,NN
espn,29,NN
fl,29,NN
unprecedented,29,JJ
timing,29,NN
spring,29,NN
worried,29,JJ
space,29,NN
missouri,29,JJ
finale,29,JJ
bit,29,NN
g7,29,JJ
skills,29,NNS
blow,29,NN
lobbyists,29,NNS
larry,29,JJ
tool,29,NN
exact,29,NN
worker,29,NN
countrys,29,NN
ferry,29,NN
upset,29,JJ
trumpwaikiki,29,JJ
conflict,29,NN
partner,29,NN
ten,29,JJ
geraldo,29,NN
camp,29,NN
resign,28,NN
conditions,28,NNS
details,28,NNS
certificate,28,NN
ceiling,28,NN
christopher,28,JJR
orlando,28,JJ
effect,28,NN
brennan,28,NN
destruction,28,NN
pervert,28,NN
nra,28,FW
healthy,28,JJ
sternshow,28,NN
opposition,28,NN
value,28,NN
pennjillette,28,NN
newspaper,28,NN
teamcavuto,28,NN
franklin,28,JJ
india,28,JJ
commitment,28,JJ
fellow,28,NN
violence,28,NN
drain,28,NN
syrian,28,JJ
smartest,28,JJS
pipeline,28,NN
jr,28,JJ
violent,28,NN
irrelevant,28,JJ
launch,28,NN
networks,28,NNS
solutions,28,NNS
hillarys,28,JJ
msvivicafox,28,NN
relief,28,NN
pundits,28,NNS
losses,28,NNS
sucks,28,NNS
google,27,NN
firm,27,JJ
whos,27,NN
hasnt,27,JJ
abe,27,NN
legacy,27,NN
lifetime,27,NN
impressive,27,JJ
mccarthy,27,JJ
basis,27,NN
crash,27,NN
lol,27,JJ
civil,27,JJ
tigerwoods,27,NNS
bin,27,JJ
grateful,27,JJ
rand,27,NN
solid,27,JJ
goal,27,NN
nydailynews,27,NNS
lance,27,NN
jewish,27,JJ
goofy,27,NN
obvious,27,JJ
income,27,NN
employees,27,NNS
ball,27,NN
kick,27,FW
van,27,NN
audience,27,NN
quid,27,JJ
regulation,27,NN
hot,27,JJ
sean,27,JJ
they’ve,27,NN
kenya,27,NN
piers,27,NNS
cabinet,26,NN
luxurious,26,JJ
proper,26,JJ
cbsnews,26,NNS
msm,26,NN
golden,26,JJ
achievers,26,NNS
cases,26,NNS
diamond,26,NN
lover,26,NN
meetthepress,26,JJ
nervous,26,JJ
hearings,26,NNS
cup,26,NN
masterpiece,26,JJ
stars,26,NNS
manager,26,NN
opponents,26,NNS
noon,26,JJ
instincts,26,NNS
goods,26,NNS
pacific,26,JJ
december,26,NN
jacknicklaus,26,JJ
arab,26,NN
harry,26,NN
management,26,NN
capital,26,NN
everyday,26,JJ
iontv,26,NN
buffalobills,26,NNS
donors,26,NNS
witnesses,26,NNS
foolish,26,JJ
tragedy,26,NN
barbarajwalters,26,NNS
benefits,26,NNS
boy,26,JJ
decide,26,NN
jimmyfallon,25,NN
moscow,25,NN
leaks,25,NNS
humanitarian,25,JJ
cohen,25,JJ
partisan,25,JJ
vast,25,JJ
iconic,25,JJ
fireworks,25,NNS
levin,25,JJ
cancer,25,NN
danger,25,JJR
obstruct,25,NN
democracy,25,NN
seat,25,NN
easier,25,JJR
defund,25,NN
tape,25,NN
sarasota,25,NN
stupidity,25,NN
pure,25,NN
trumppence16,25,JJ
purpose,25,JJ
antitrump,25,NN
orders,25,NNS
owe,25,JJ
richard,25,NN
ultimate,25,JJ
delay,25,NN
tampa,25,NN
megyn,25,NN
china’s,25,NN
jeter,25,NN
pinehurst,25,JJ
copies,25,NNS
natural,25,JJ
turns,25,NNS
famous,25,JJ
miller,25,NN
stick,25,NN
spitzer,25,NN
bloomberg,25,JJ
comment,25,NN
respond,25,NN
baby,25,NN
costly,25,JJ
optimism,25,RP
againhttpswwwdonaldjtrumpcom,25,JJ
teamtrump,25,NN
shouldn’t,25,NN
powell,24,NN
sandy,24,JJ
continued,24,JJ
publicity,24,NN
trumpferrypoint,24,NN
excitement,24,NN
dmregister,24,NN
intelligent,24,JJ
commercial,24,JJ
cadillac,24,NN
gorgeous,24,JJ
channel,24,NNS
clapper,24,NN
language,24,NN
kaine,24,NN
montana,24,NN
payments,24,NNS
furious,24,JJ
fund,24,NN
anonymous,24,JJ
swamp,24,NN
proof,24,NN
contestants,24,NNS
evil,24,NN
trail,24,JJ
morgan,24,NN
you’ve,24,JJ
compete,24,JJ
treatment,24,NN
development,24,NN
jimmy,24,NN
deficits,24,NNS
impressed,24,JJ
opens,24,NNS
clip,24,JJ
ship,24,NN
sides,24,NNS
pledge,24,NN
lamestream,24,NN
register,24,NN
yrs,24,NN
inspire,24,NN
soooo,24,NN
keynote,24,NN
accomplishments,24,NNS
thebrodyfile,24,JJ
influence,24,NN
bird,24,NN
citizenship,24,NN
clown,24,JJ
puppet,24,NN
taxpayer,23,NN
fault,23,NN
tip,23,NN
tens,23,NNS
greg,23,JJ
percent,23,NN
rebels,23,NNS
protest,23,JJS
cancelled,23,JJ
partners,23,NNS
tribute,23,JJ
pittsburgh,23,NN
kansas,23,NN
crookedhillary,23,JJ
heres,23,NNS
jobless,23,JJ
amenities,23,NNS
areas,23,NNS
eu,23,JJ
reach,23,NN
celebration,23,NN
martin,23,NN
walls,23,NNS
empire,23,NN
johnson,23,NN
tpp,23,JJ
subjects,23,NNS
ring,23,JJ
easter,23,NN
windmills,23,NNS
weekly,23,JJ
finance,23,NN
someday,23,JJ
limbaugh,23,JJ
bid,23,NN
mouth,23,JJ
accomplish,23,JJ
overseas,23,JJ
experts,23,NNS
lou,23,JJ
production,23,NN
ppl,23,NN
wrestlemania,23,JJ
nro,23,NN
sentedcruz,23,JJ
strike,23,NN
machine,23,NN
environment,23,NN
classy,23,NN
alive,23,JJ
primaries,23,NNS
constitutional,23,JJ
senatemajldr,23,JJ
embarrassment,23,NN
spends,23,NNS
express,22,JJ
narrative,22,JJ
sale,22,NN
bowl,22,NN
arseniohall,22,JJ
champions,22,NNS
assault,22,NN
suit,22,NN
score,22,NN
soft,22,JJ
unity,22,JJ
violation,22,NN
epic,22,NN
immigrant,22,JJ
bosses,22,NNS
miles,22,NNS
fighters,22,NNS
injured,22,JJ
consequences,22,NNS
gstephanopoulos,22,NN
shoot,22,NN
patrick,22,NN
incorrect,22,NN
thugs,22,NNS
hostages,22,NNS
justices,22,NNS
toure,22,NN
tank,22,NN
leverage,22,NN
restaurants,22,NNS
checks,22,NNS
renovations,22,NNS
size,22,NN
screen,22,NN
houston,22,NN
welfare,22,NN
independence,22,NN
victories,22,NNS
plays,22,NNS
hire,22,NN
cross,22,NN
bar,22,NN
doug,22,NN
she’s,22,JJ
towards,22,NNS
segment,22,NN
surveillance,22,NN
hollywood,22,NN
ego,22,NN
golfchannel,22,JJ
dennisrodman,22,NN
reuters,22,NNS
investments,22,NNS
sharp,22,JJ
reelection,22,NN
minute,22,NN
jackson,22,NN
british,22,JJ
auto,22,NN
medical,22,JJ
mary,22,JJ
winter,22,NN
caucus,22,NN
fiction,22,NN
bret,22,JJ
terms,22,NNS
steele,21,JJ
lobbyist,21,NN
electoral,21,JJ
table,21,NN
kingdom,21,NN
rip,21,NN
charles,21,NNS
maryland,21,JJ
promote,21,NN
corporate,21,JJ
brutal,21,JJ
cancel,21,NN
direct,21,JJ
responsibility,21,NN
qvc,21,NN
closer,21,JJR
caravans,21,NNS
administrations,21,NNS
courageous,21,JJ
tenacious,21,JJ
laden,21,NN
lombardi,21,NN
pocahontas,21,NNS
arms,21,NNS
mission,21,NN
republic,21,JJ
towers,21,NNS
univision,21,NN
ignore,21,NN
heritage,21,NN
quick,21,JJ
chair,21,NN
calm,21,JJ
operation,21,NN
vpdebate,21,JJ
felt,21,NN
feels,21,NNS
doctors,21,NNS
box,21,JJ
sports,21,NNS
loud,21,JJ
murder,21,NN
canadian,21,JJ
commissioner,21,NN
mad,21,NN
innovation,21,JJ
scene,21,NN
stamina,21,NN
aberdeenshire,21,NN
birds,21,NNS
headline,21,JJ
contributions,21,NNS
ours,21,NNS
veteran,21,NN
sarah,21,JJ
eastern,21,JJ
pa,21,NN
conservatives,21,NNS
candidacy,21,NN
doralresort,21,NN
prescription,21,NN
kyleraccio,21,FW
summer,21,NN
vincemcmahon,21,NN
square,21,NN
probe,21,NN
count,21,NN
sexual,21,JJ
accurate,21,JJ
resolution,21,NN
frankluntz,20,NN
aluminum,20,NN
asia,20,NN
particular,20,JJ
iacaucus,20,NN
liljon,20,NN
jennifer75ar,20,NN
cahlrstorrie,20,NN
thrown,20,JJ
benjamin,20,NN
womens,20,NNS
hearts,20,NNS
hospital,20,NN
senior,20,JJ
housing,20,NN
windfarms,20,NNS
donlemon,20,JJ
flgovscott,20,NN
harvard,20,NN
jet,20,NN
paulryanvp,20,NN
sacrifice,20,NN
cable,20,NN
proves,20,NNS
flight,20,NN
connecticut,20,NN
illinois,20,NN
you’ll,20,NNP
pianobecca,20,NN
traitor,20,NN
gma,20,NN
barbara,20,NN
prisoners,20,NNS
clueless,20,JJ
oprah,20,JJ
wanna,20,NN
door,20,JJ
contact,20,JJ
moon,20,NN
stocks,20,NNS
fronts,20,NNS
papers,20,NNS
dump,20,JJ
horrendous,20,JJ
douglas,20,JJ
korean,20,JJ
nominate,20,JJ
commission,20,NN
owners,20,NNS
rev,20,NN
farms,20,NNS
jason,20,NN
sarahpalinusa,20,JJ
idiots,20,NNS
mandate,20,JJ
wwehof,20,NNS
classic,20,JJ
celebrities,20,NNS
doctor,20,NN
bishop,20,NN
bold,20,JJ
manipulation,20,NN
hunter,20,NN
phil,20,NN
gotta,20,NN
salute,20,NN
hannity,20,NN
mrs,20,NN
rocket,20,NN
usmc,20,JJ
challenges,20,NNS
des,20,NNS
cards,20,NNS
capable,20,JJ
insane,20,NN
president’s,20,NN
stern,20,JJ
nick,20,JJ
master,20,NN
contest,20,NN
shots,20,NNS
chain,20,NN
stimulus,20,NN
nov,20,JJ
christians,20,NNS
endless,20,JJ
trumpcollection,20,NN
negotiators,20,NNS
extreme,19,FW
edwards,19,NNS
shirt,19,JJ
panama,19,NN
notthatactor,19,NN
world’s,19,JJ
tcot,19,JJ
protests,19,NNS
moines,19,NNS
hasn’t,19,JJ
net,19,JJ
uses,19,NNS
generals,19,NNS
unemployed,19,JJ
accepted,19,JJ
fifth,19,JJ
patient,19,NN
appropriate,19,JJ
environmental,19,JJ
prepare,19,NN
commentary,19,JJ
peoples,19,NNS
donations,19,NNS
invest,19,JJS
blog,19,NN
recognize,19,NN
ronmeier123,19,NN
manhattan,19,NN
podesta,19,NN
lindsey,19,JJ
lessons,19,NNS
version,19,NN
dec,19,JJ
heavy,19,JJ
student,19,NN
pensacola,19,JJ
expand,19,NN
acts,19,NNS
society,19,NN
threats,19,NNS
idol,19,NN
till,19,NN
lottery,19,NN
ruling,19,NN
trumpcharlotte,19,NN
cspan,19,NN
p,19,NN
boys,19,NNS
icon,19,JJ
hagel,19,NN
technology,19,NN
search,19,NN
representative,19,JJ
downtown,19,NN
tragic,19,JJ
compliment,19,NN
mattginellagc,19,NN
underestimate,19,JJ
overtime,19,JJ
retweet,19,NN
february,19,JJ
flashback,19,NN
thisweekabc,19,NN
manufacturers,19,NNS
refugees,19,NNS
employment,19,NN
affected,19,JJ
hide,19,NN
paso,19,NN
utah,19,JJ
regime,19,NN
tiny,19,JJ
options,19,NNS
midterms,19,NNS
cliff,19,JJ
disloyal,19,JJ
mass,19,NN
counts,19,NNS
destination,19,NN
background,19,NN
bahia6085,19,NN
sp,19,JJ
resources,19,NNS
assets,19,NNS
frank,19,JJ
spread,19,JJ
character,19,NN
schools,19,NNS
unlimited,18,JJ
elijah,18,NN
ray,18,NN
river,18,NN
plants,18,NNS
lunch,18,NN
reckless,18,JJ
survive,18,JJ
fairness,18,NN
treason,18,NN
renovation,18,NN
margin,18,NN
dark,18,NN
clowns,18,NNS
circuit,18,NN
factor,18,NN
reputation,18,NN
merit,18,NN
seldom,18,NN
competitor,18,NN
pace,18,NN
author,18,NN
insight,18,NN
actual,18,JJ
todd,18,NN
generation,18,NN
advertising,18,NN
evangelicals,18,NNS
behavior,18,JJ
perry,18,NN
fundraiser,18,JJR
ewerickson,18,NN
hostile,18,JJ
migration,18,NN
celeb,18,NN
inspirational,18,JJ
stamps,18,NNS
agricultural,18,JJ
nikkio,18,JJ
prosecutor,18,NN
wide,18,JJ
davidaxelrod,18,NN
choices,18,NNS
bridge,18,NN
usatoday,18,JJ
rapids,18,NNS
shootings,18,NNS
properties,18,NNS
victorious,18,JJ
stuck,18,JJ
funeral,18,JJ
opinions,18,NNS
fatal,18,JJ
applications,18,NNS
marines,18,NNS
fails,18,NNS
charlottesville,18,NN
wine,18,JJ
avoid,18,JJ
cryin’,18,NN
shock,18,NN
panel,18,NN
fires,18,NNS
arnold,18,JJ
michelle,18,NN
flow,18,NN
articles,18,NNS
fees,18,NNS
heat,18,JJ
jaketapper,18,NN
task,18,NN
nashville,18,NN
f,18,JJ
tries,18,NNS
missile,18,NN
iphone,18,NN
claim,18,NN
intel,18,NN
electric,18,JJ
proclamation,18,NN
deepest,18,JJS
option,18,NN
scandals,18,NNS
denuclearization,18,NN
bust,18,NN
atrium,18,NN
conspiracy,18,NN
competitive,18,JJ
drew,18,NN
forum,18,NN
scary,18,JJ
projects,18,NNS
roy,18,NNS
combination,17,NN
bretmichaels,17,NNS
nypd,17,JJ
era,17,NN
snow,17,NN
agencies,17,NNS
outlets,17,NNS
announces,17,NNS
pictures,17,NNS
belllabooo13,17,JJ
abraham,17,NN
norman,17,JJ
sections,17,NNS
fusion,17,NN
varneyco,17,NN
destiny,17,JJ
gangs,17,NNS
roosevelt,17,JJ
circulation,17,NN
congratulate,17,NN
phenomenal,17,JJ
nadler,17,NN
byronyork,17,NN
supertuesday,17,JJ
warmest,17,JJS
internet,17,NN
barrier,17,JJR
hannityshow,17,NN
charities,17,NNS
ride,17,JJ
hardballchris,17,NN
excellence,17,NN
stadium,17,NN
oscar,17,NN
palos,17,NN
broadcast,17,NN
alaska,17,NN
journalism,17,NN
data,17,NNS
trillions,17,NNS
dear,17,JJ
dean,17,NN
signs,17,NNS
shooter,17,NN
eddierispone,17,NN
attempt,17,NN
stops,17,NNS
possibility,17,NN
advisor,17,NN
garden,17,NN
gains,17,NNS
chrysler,17,NN
vital,17,JJ
wgc,17,NN
wave,17,JJ
fashion,17,NN
trumpireland,17,NN
runoff,17,NN
negotiator,17,NN
main,17,JJ
theviewtv,17,NN
bergdahl,17,NN
outrageous,17,JJ
amy,17,JJ
crude,17,NN
passionate,17,NN
ia,17,NN
foxnewssunday,17,JJ
venue,17,NN
combat,17,NN
authority,17,NN
safer,17,JJR
sport,17,NN
failures,17,NNS
aware,17,JJ
horrific,17,NN
andor,17,JJ
fathers,17,NNS
professionals,17,NNS
vanity,17,NN
juan,17,NN
dennis,17,JJ
trumppanama,17,NN
brown,17,JJ
shop,17,NN
ac360,17,JJ
treasure,17,NN
poverty,17,NN
convinced,17,JJ
judd,17,NN
philadelphia,17,NN
carbon,17,NN
roads,17,NNS
settle,16,NN
newtgingrich,16,JJ
documentary,16,JJ
collapse,16,NN
streets,16,NNS
crazed,16,JJ
powers,16,NNS
unnecessary,16,JJ
critics,16,NNS
jump,16,NN
cincinnati,16,JJ
fit,16,JJ
eagles,16,NNS
aol,16,JJ
exceptional,16,JJ
tourism,16,NN
vet,16,NN
gitmo,16,NN
barr,16,NN
motors,16,NNS
libertyu,16,JJ
loan,16,NN
native,16,JJ
kennedy,16,NN
hilton,16,NN
brexit,16,NN
intheelections,16,NNS
judicial,16,JJ
disagree,16,JJ
nuts,16,NNS
editor,16,NN
ft,16,NN
picks,16,NNS
conversations,16,NNS
mattis,16,NN
throw,16,NN
championships,16,NNS
mental,16,JJ
lyin’,16,NN
cheap,16,NN
pour,16,JJ
iranians,16,NNS
difficulties,16,NNS
selection,16,NN
targeted,16,JJ
frankcaliendo,16,NN
witness,16,NN
incapable,16,JJ
recommend,16,NN
thankful,16,JJ
fly,16,NN
awful,16,JJ
prayer,16,NN
speed,16,NN
pages,16,NNS
backed,16,JJ
replacement,16,NN
honduras,16,NNS
v,16,NN
warm,16,JJ
landmark,16,NN
fence,16,NN
alternative,16,JJ
moves,16,NNS
cummings,16,NNS
jackwelch,16,NN
eliot,16,JJ
dress,16,NN
brains,16,NNS
recession,16,NN
ross,16,NN
recover,16,NN
letters,16,NNS
jessebwatters,16,NNS
gm,16,NN
deductibles,16,NNS
delayed,16,JJ
holes,16,NNS
flags,16,NNS
corker,16,NN
brain,16,NN
hack,16,NN
block,16,NN
parties,16,NNS
photos,16,NNS
shark,16,NN
morons,16,NNS
gee,16,FW
quantitative,16,JJ
refreshing,16,NN
dayton,16,NN
smith,16,NN
sleazebag,16,NN
topics,16,NNS
sharpton,16,NN
conflicts,16,NNS
clinton’s,16,JJ
unionleader,16,JJ
wheres,16,NNS
impeachable,16,JJ
partnership,16,NN
rescue,16,NN
academy,16,NN
waters,16,NNS
peaceful,16,JJ
status,16,NN
covers,16,NNS
investor,16,NN
magic,16,JJ
music,16,NN
arsenioofficial,16,JJ
governors,15,NNS
prosperous,15,JJ
complain,15,NN
crown,15,JJ
rises,15,NNS
harvey,15,JJ
app,15,NN
gatewaypundit,15,NN
hence,15,NN
drudge,15,NN
gifts,15,NNS
captured,15,JJ
beats,15,NNS
reasonable,15,JJ
foot,15,NN
governments,15,NNS
megan,15,JJ
olympics,15,NNS
defends,15,NNS
negotiated,15,JJ
joseph,15,NN
boom,15,NN
missiles,15,NNS
helpful,15,JJ
stance,15,NN
ashley,15,NN
jurciuoli19,15,NN
bottom,15,NN
importance,15,NN
catastrophe,15,NN
frack,15,NN
anytime,15,JJ
socialist,15,JJ
amen,15,NNS
airlines,15,NNS
epa,15,JJ
rushlimbaugh,15,NN
hillary’s,15,NN
understanding,15,JJ
commerce,15,NN
enthusiastic,15,JJ
statesman,15,NN
normal,15,JJ
airports,15,NNS
loans,15,NNS
tomorrows,15,JJ
girls,15,NNS
edison,15,NN
buys,15,NNS
killers,15,NNS
cher,15,NN
complex,15,JJ
susteren,15,JJ
column,15,NN
wacky,15,JJ
verdes,15,NNS
opioid,15,RP
campaigned,15,JJ
memory,15,NN
par,15,NN
phase,15,NN
fresh,15,JJ
authorities,15,NNS
dishonesty,15,JJ
idiot,15,NN
pls,15,JJ
nebraska,15,JJ
deputy,15,NN
jury,15,NN
g,15,JJ
neil,15,JJ
pollster,15,NN
acceptable,15,JJ
profit,15,NN
preexisting,15,NN
strengthen,15,NN
therealmarilu,15,NN
borntobegop,15,NN
concerns,15,NNS
roof,15,JJ
equipment,15,NN
fraction,15,NN
unhappy,15,JJ
mcmaster,15,NN
brazil,15,NN
scottwalker,15,NN
embrace,15,NN
stephen,15,NN
unconstitutional,15,JJ
youth,15,NN
spin,15,NN
integrity,15,JJ
turnberrybuzz,15,NN
affordable,15,JJ
forq2,15,NN
weren’t,15,NN
jan,15,NN
tactics,15,NNS
yesterdays,15,NNS
shit,15,JJ
rebuilt,15,JJ
assad,15,NN
sacred,15,JJ
turbine,15,NN
soldier,15,NN
bel,15,NN
commanderinchief,15,NN
pressjournal,15,JJ
omar,14,NN
okay,14,JJ
teach,14,NN
desk,14,NN
trading,14,NN
ironic,14,JJ
grant,14,NN
stevekingia,14,NN
greggjarrett,14,JJ
jayleno,14,NN
abeshinzo,14,JJ
stubborn,14,JJ
mandela,14,NN
meltdown,14,JJ
qaeda,14,NN
factories,14,NNS
tops,14,NNS
int’l,14,JJ
caravan,14,NN
advance,14,NN
consumers,14,NNS
cherish,14,JJ
firefighters,14,NNS
rod,14,NN
store,14,NN
warriors,14,NNS
pr,14,JJ
nukes,14,NNS
backs,14,NNS
quarter,14,NN
file,14,NN
mentor,14,NN
hook,14,NN
trumpadvice,14,JJ
coalition,14,NN
teacher,14,NN
homeless,14,NN
coldest,14,NN
facilities,14,NNS
hostage,14,NN
pull,14,NN
sam,14,NN
q,14,NN
watergate,14,NN
realbencarson,14,NN
congresswoman,14,NN
census,14,NN
johnrich,14,JJ
mornings,14,NNS
jonhuntsman,14,NN
pakistan,14,JJ
minds,14,NNS
finances,14,NNS
nyjets,14,NNS
brothers,14,NNS
jenniferjjacobs,14,NN
maher,14,NN
francisco,14,NN
phones,14,NNS
commercials,14,NNS
suits,14,NNS
martha,14,NN
meant,14,NN
joebiden,14,NN
decisive,14,JJ
complaints,14,NNS
detroit,14,JJ
vladimir,14,NN
concept,14,JJ
officer,14,NN
understood,14,NN
inept,14,JJ
ships,14,NNS
he’ll,14,JJ
investigations,14,NNS
body,14,NN
strategic,14,JJ
facethenation,14,NN
stephenfhayes,14,NNS
bus,14,JJ
liberals,14,NNS
richer,14,JJR
eve,14,JJ
wing,14,NN
remembrance,14,NN
patton,14,NN
fort,14,JJ
proposal,14,NN
fill,14,JJ
cycle,14,NN
walked,14,JJ
soho,14,NN
justin,14,JJ
century,14,NN
competitors,14,NNS
eye,14,NN
borrow,14,NN
govchristie,14,JJ
reception,14,NN
huffington,14,NN
hillarysusans,14,NNS
epidemic,14,JJ
masters,14,NNS
frontrunner,14,JJ
industrial,14,JJ
katie,14,NN
smarts,14,NNS
platform,14,NN
irans,14,NNS
religious,14,JJ
negate,14,JJ
customers,14,NNS
fragrance,14,JJ
commander,14,NN
delegation,14,NN
euro,14,NN
hurricanes,14,NNS
drama,13,NN
migrants,13,NNS
liars,13,NNS
trace,13,NN
johnny,13,NN
fate,13,NN
friendly,13,JJ
delivers,13,NNS
french,13,JJ
leaker,13,NN
woods,13,NNS
determination,13,NN
decent,13,JJ
gentleman,13,NN
guide,13,JJ
riots,13,NNS
steps,13,NNS
unsustainable,13,JJ
deny,13,NN
sends,13,JJ
discussions,13,NNS
tied,13,JJ
basketball,13,NN
intention,13,NN
usc,13,JJ
golfer,13,NN
update,13,JJ
resist,13,NN
trumpwinery,13,NN
rocks,13,NNS
stevehiltonx,13,JJ
maathewdavis,13,JJ
accountability,13,NN
unique,13,JJ
clients,13,NNS
uranium,13,JJ
bump,13,NN
fundraisers,13,NNS
doubled,13,JJ
vattenfallgroup,13,NN
texts,13,NN
insightful,13,JJ
stephenbaldwin7,13,NN
storms,13,NNS
journalists,13,NNS
chances,13,NNS
discussion,13,NN
cartels,13,NNS
latoyajackson,13,JJ
‘the,13,NNP
expose,13,NN
plateau,13,NN
display,13,NN
fivestar,13,NN
mattbevin,13,NN
jupiter,13,NN
belong,13,NN
accident,13,JJ
obsolete,13,JJ
ovation,13,NN
priority,13,NN
macarthur,13,NN
surplus,13,NN
philippines,13,NNS
jonathan,13,NN
jackshallis,13,NN
relations,13,NNS
shawnjohnson,13,NN
ac,13,JJ
superior,13,JJ
trumpgolf,13,NN
bidens,13,NNS
substance,13,NN
belongs,13,NNS
facility,13,NN
penalties,13,NNS
lights,13,NNS
standards,13,NNS
category,13,NN
plz,13,NN
johnboehner,13,NN
beaumontanthony,13,JJ
sentence,13,NN
dedication,13,NN
cuba,13,NN
demean,13,JJ
srqrepublicans,13,NNS
here’s,13,JJ
association,13,NN
operative,13,JJ
intellectual,13,JJ
pope,13,NN
bilateral,13,JJ
range,13,NN
brandi,13,NN
gratitude,13,NN
realgilbert,13,JJ
stevens,13,NNS
purposes,13,NNS
film,13,NN
confident,13,JJ
diamondandsilk,13,NN
unite,13,JJ
anchor,13,NN
bahamas,13,NNS
talents,13,NNS
frame,13,JJ
helicopter,13,NN
allegations,13,NNS
practice,13,NN
lift,13,NN
herald,13,NN
patience,13,NN
inspector,13,NN
cheat,13,NN
antbaxter,13,JJ
lowlife,13,NN
limit,13,NN
pundit,13,NN
friendship,13,NN
misdemeanors,13,NNS
leaves,13,NNS
accountable,13,JJ
jordan,13,NN
fragile,13,NN
models,13,NNS
erictrumpfdn,13,JJ
multiple,13,JJ
club4growth,13,NN
werent,13,NN
coincidence,13,NN
schiff’s,13,NN
gps,13,NN
definition,13,NN
columbia,13,NN
africanamerican,13,JJ
executives,13,NNS
decline,13,NN
caliphate,13,NN
meyers,13,NNS
sundays,13,NNS
laughed,13,JJ
individuals,13,NNS
backontrackusa,13,NN
therealkiyosaki,13,NN
ruth,13,JJ
shake,13,JJ
seasons,13,NNS
tee,13,NN
messages,13,NNS
guests,13,NNS
disastrous,13,JJ
predict,12,JJ
warning,12,NN
bravery,12,NN
impeccable,12,JJ
bbc,12,NN
destructive,12,NN
sophisticated,12,JJ
presents,12,NNS
prediction,12,NN
lovers,12,NNS
constant,12,JJ
cc,12,NN
kraft,12,NN
writers,12,NNS
typical,12,JJ
grade,12,JJ
invasion,12,NN
myrtle,12,NN
fights,12,NNS
hater,12,NN
capacity,12,NN
congresswomen,12,NNS
britain,12,JJ
invite,12,JJ
ruin,12,NN
professor,12,NN
respectful,12,JJ
michaels,12,NNS
intact,12,JJ
i’d,12,JJ
dealt,12,NN
doors,12,NNS
baton,12,NN
serta,12,NN
ncgop,12,JJ
jebs,12,NN
consistent,12,JJ
enormous,12,JJ
reince,12,NN
fuel,12,NN
producer,12,NN
dialogue,12,NN
expectations,12,NNS
brad,12,JJ
deaths,12,NNS
cowards,12,NNS
silence,12,NN
potomac,12,NNS
compliments,12,NNS
moments,12,NNS
poland,12,NN
kateplusmy8,12,NN
golfdigestmag,12,JJ
childrens,12,NNS
trump4president,12,JJ
trumptower,12,JJR
william,12,NN
minneapolis,12,NN
patriotic,12,JJ
theblaze,12,NN
territory,12,NN
personable,12,JJ
phrase,12,NN
goangelo,12,NN
atlanta,12,JJ
icahn,12,NN
filibuster,12,NN
assistance,12,NN
comparison,12,NN
theme,12,JJ
sand,12,NN
bronx,12,NN
sunday’s,12,NN
possibilities,12,NNS
prince,12,NN
dnorrell,12,NN
به,12,NNP
awareness,12,NN
achievements,12,NNS
glennbeck,12,JJ
lesson,12,NN
homes,12,NNS
empty,12,JJ
trumpers,12,NNS
legislative,12,JJ
mate,12,NN
bombing,12,NN
diego,12,JJ
vigilant,12,JJ
comedian,12,JJ
peninsula,12,NN
yard,12,NN
ideal,12,JJ
flunky,12,JJ
mlb,12,NN
zones,12,NNS
positions,12,NNS
unit,12,NN
muslims,12,NNS
comprehensive,12,JJ
replay,12,NN
gross,12,JJ
patients,12,NNS
jacksonville,12,JJ
races,12,NNS
reveals,12,NNS
appointment,12,NN
gates,12,NNS
randpaul,12,JJ
entertainment,12,NN
blackdog,12,NN
religion,12,NN
fewer,12,JJR
premium,12,NN
dakota,12,NN
generations,12,NNS
kid,12,NN
zimmerman,12,NN
regardless,12,JJ
revenue,12,NN
admin,12,JJ
golfmagazine,12,NN
siege,12,NN
seniors,12,NNS
jerusalem,12,JJ
exchange,12,NN
desantis,12,NN
mondays,12,NNS
outrage,12,NN
aircraft,12,NN
edge,12,NN
cents,12,NNS
electricity,12,NN
flexible,12,JJ
salary,12,NN
wikileaks,12,JJ
priorities,12,NNS
respects,12,NNS
